judul,artis,lirik
Yang Terlupakan,Iwan Fals,yang terlupakan denting piano kala jemari menarinada merambat pelan di kesunyian malamsaat datang rintik hujan bersama sebuah bayangyang pernah terlupakanhati kecil berbisik untuk kembali padanyaseribu kata menggoda seribu sesal di depan mataseperti menjelma waktu aku tertawakala memberimu dosaooh maafkanlahooh maafkanlahrasa sesal di dasar hati diam tak mau pergiharuskah aku lari dari kenyataan inipernah kumencoba tuk sembunyinamun senyummu tetap mengikutina na na na na na na na na na na na na na na na hati kecil berbisik untuk kembali padanyaseribu kata menggoda seribu sesal di depan mataseperti menjelma waktu aku tertawakala memberimu dosarasa sesal di dasar hati diam tak mau pergiharuskah aku lari dari kenyataan inipernah kumencoba tuk sembunyinamun senyummu tetap mengikutirasa sesal di dasar hati diam tak mau pergiharuskah aku lari dari kenyataan inipernah kumencoba tuk sembunyinamun senyummu tetap mengikutirasa sesal di dasar hati diam tak mau pergiharuskah aku lari dari kenyataan inipernah kumencoba tuk sembunyinamun senyummu tetap mengikuti
Surat Buat Wakil Rakyat,Iwan Fals,surat buat wakil rakyat untukmu yang duduk sambil diskusiuntukmu yang biasa bersafaridi sana di gedung dprwakil rakyat kumpulan orang hebatbukan kumpulan teman teman dekatapalagi sanak familidi hati dan lidahmu kami berharapsuara kami tolong dengar lalu sampaikanjangan ragu jangan takut karang menghadangbicaralah yang lantang jangan hanya diamdi kantong safarimu kami titipkanmasa depan kami dan negeri inidari sabangsampai meraukesaudara dipilih bukan dilotremeski kami tak kenal siapa saudarakami tak sudi memilih para juarajuara diam juara heeh juara hahahauntukmu yang duduk sambil diskusiuntukmu yang biasa bersafaridi sanadi gedung dprdi hati dan lidahmu kami berharapsuara kami tolong dengar lalu sampaikanjangan ragu jangan takut karang menghadangbicaralah yang lantang jangan hanya diamwakil rakyat seharusnya merakyatjangan tidur waktu sidang soal rakyatwakil rakyat bukan paduan suarahanya tahu nyanyian lagu setujuwakil rakyat seharusnya merakyatjangan tidur waktu sidang soal rakyatwakil rakyat bukan paduan suarahanya tahu nyanyian lagu setujuwakil rakyat seharusnya merakyatjangan tidur waktu sidang soal rakyatwakil rakyat bukan paduan suarahanya tahu nyanyian lagu setujuwakil rakyat seharusnya merakyatjangan tidur waktu sidang soal rakyatwakil rakyat bukan paduan suarahanya tahu nyanyian lagu setuju
Ibu,Iwan Fals,ibu ribuan kilo jalan yang kau tempuhlewati rintang untuk aku anakmuibuku sayang masih terus berjalanwalau tapak kaki penuh darah penuh nanahseperti udara kasih yang engkau berikantak mampu ku membalasibu ibuingin kudekap dan menangis di pangkuanmusampai aku tertidur bagai masa kecil dululalu doadoa baluri sekujur tubuhkudengan apa membalas ibu iburibuan kilo jalan yang kau tempuhlewati rintang untuk aku anakmuibuku sayang masih terus berjalanwalau tapak kaki penuh darah penuh nanahseperti udara kasih yang engkau berikantak mampu ku membalasibu ibu
Kemesraan,Iwan Fals,kemesraan suatu hari di kala kita duduk di tepi pantaidan memandang ombak dilautan yang kian menepiburung camar terbang bermain di derunya airsuara alam ini hangatkan jiwa kitasementara sinar surya perlahan mulai tenggelamsuara gitarmu mengalunkan melodi tentang cintaada hati membara erat bersatugetar seluruh jiwa tercurah saat itukemesraan ini janganlah cepat berlalukemesraan ini ingin kukenang selaluhatiku damai jiwaku tentram di sampingmuhatiku damai jiwaku tentram bersamamusementara sinar surya perlahan mulai tenggelamsuara gitarmu mengalunkan melodi tentang cintaada hati membara erat bersatugetar seluruh jiwa tercurah saat itukemesraan ini janganlah cepat berlalukemesraan ini ingin kukenang selaluhatiku damai jiwaku tentram di sampingmuhatiku damai jiwaku tentram bersamamukemesraan ini janganlah cepat berlalukemesraan ini ingin kukenang selaluhatiku damai jiwaku tentram di sampingmuhatiku damai jiwaku tentram bersamamubersamamu
Kumenanti Seorang Kekasih,Iwan Fals,kumenanti seorang kekasih lyricskumenanti seorang kekasihbila mentari bersinar lagihatiku pun ceria kembalikutatap mega tiada yang hitambetapa indah hari inikumenanti seorang kekasihyang tercantik yang datang di hari iniadakah dia akan selalu setiabersanding hidup penuh pesona harapankujangan kau tak menepati janjidatanglah dengan kasihmuandai kau tak datang kali inipunah harapankuohohohohohohohohkutatap mega tiada yang hitambetapa indah hari inikumenanti seorang kekasihyang tercantik yang datang di hari iniadakah dia akan selalu setiabersanding hidup penuh pesona harapankujangan kau tak menepati janjidatanglah dengan kasihmuandai kau tak datang kali inipunah harapankujangan kau tak menepati janjidatanglah dengan kasihmuandai kau tak datang kali inipunah harapankuandai kau tak datang kali inipunah harapanku
Pesawat Tempurku,Iwan Fals,pesawat tempurku waktu kau lewat aku sedang mainkan gitarsebuah lagu yang kunyanyikan tentang dirimuseperti kemarin kamu hanya lemparkan senyumlalu pergi begitu saja bagai pesawat tempurhei kau yang manis singgahlah dan ikut bernyanyisebentar saja nona sebentar saja hanya sebentarrayuan mautku tak membuat kau jadi galakbagai seorang diplomat ulung engkau mengelakkalau saja aku bukanlah penganggursudah kupacari kaujangan bilang tidak bilang saja iyaiya lebih baik daripada kau menangispenguasa penguasa berilah hambamu uangberi hamba uang beri hamba uangpenguasa penguasa berilah hambamu uangberi hamba uang beri hamba uangberi hamba uang beri hamba uangoh ya andaikata dunia tak punya tentaratentu tak ada perang yang banyak makan biayaoh oh ya andaikata dana perang buat dirikutentu kau mau singgah bukan cuma tersenyumkalau hanya senyum yang engkau berikanwesterling pun tersenyumbersinggahlah sayang pesawat tempurkumendarat mulus di dalam sanubarikupenguasa penguasa berilah hambamu uangberi hamba uang beri hamba uangpenguasa penguasa berilah hambamu uangberi hamba uang beri hamba uangberi hamba uang beri hamba uangberi hamba uang beri hamba uangberi hamba uang beri hamba uang beri hamba uangberi hamba uang beri hamba uangberi hamba uang beri hamba uang
Bongkar,Iwan Fals,bongkar kalau cinta sudah dibuangjangan harap keadilan akan datangkesedihan hanya tontonanbagi mereka yang diperkuda jabatanohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarsabar sabar sabar dan tungguitu jawaban yang kami terimaternyata kita harus ke jalanrobohkan setan yang berdiri mengangkangohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarpenindasan serta kesewenangwenanganbanyak lagi t'ramat banyak untuk disebutkanhoi hentikanhentikan jangan diteruskankami muak dengan ketidakpastiandan keserakahandi jalanan kami sandarkan cita citasebab di rumah tak ada lagi yang bisa dipercayaorang tua pandanglah kami s'bagai manusiakami bertanya tolong kau jawab dengan cintaoh ohohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarpenindasan serta kesewenangwenanganbanyak lagi t'ramat banyak untuk disebutkanhoi hentikanhentikan jangan diteruskankami muak dengan ketidakpastiandan keserakahanohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkardi jalanan kami sandarkan cita citasebab di rumah tak ada lagi yang bisa dipercayaorang tua pandanglah kami s'bagai manusiakami bertanya tolong kau jawab dengan cintaohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarohohya oh yaoh ya bongkarkok bisabisa kok
Tikus-Tikus Kantor,Iwan Fals,tikustikus kantor lyricstikustikus kantorkisah usang tikustikus kantoryang suka berenang di sungai yang kotorkisah usang tikustikus berdasiyang suka ingkar janji lalu sembunyidi balik meja teman sekerjadi dalam lemari dari bajakucing datang cepat ganti mukasegera menjelma bagai tak tercelamasa bodoh hilang harga diriasal tak terbukti ah tentu sikat lagitikustikus tak kenal kenyangraku rakus bukan kepalangotak tikus memang bukan otak udangkucing datang tikus menghilangkucingkucing yang kerjanya molortak ingat tikus kantor datang menterorcerdik licik tikus bertingkah tengikmungkin karena sang kucing purapura mendeliktikus tahu sang kucing laparkasih roti jalanpun lancarmemang sial sang tikus teramat pintaratau mungkin si kucing yang kurang ditatartikustikus tak kenal kenyangrakus rakus bukan kepalangotak tikus memang bukan otak udangkucing datang tikus menghilang
Aku Bukan Pilihan,Iwan Fals,aku bukan pilihan lyricsiwan fals  aku bukan pilihankini kumengungkap tanyasiapakah dirinyayang mengaku kekasihmu ituaku tak bisa memahamiketika malam tibaku rela kau beradadengan siapa kau melewatinyaaku tak bisa memahamiaku lelaki tak mungkin menerimamu bilaternyata kau mendua membuatku terlukatinggalkan saja diriku yang tak mungkin menunggujangan pernah memilih aku bukan pilihanselalu terungkap tanyabenarkan kini diawanita yang kukenal hatinyaaku tak bisa memahamiaku lelaki tak mungkin menerimamu bilaternyata kau mendua membuatku terlukatinggalkan saja diriku yang tak mungkin menunggujangan pernah memilih aku bukan pilihantak perlu kau memilihkuaku lelaki bukan 'tuk dipilihaku lelaki tak mungkin menerimamu bilaternyata kau mendua membuatku terlukatinggalkan saja diriku yang tak mungkin menunggujangan pernah memilih aku bukan pilihanaku lelaki tak mungkin menerimamu bilaternyata kau mendua membuatku terlukatinggalkan saja diriku yang tak mungkin menunggujangan pernah memilih aku bukan pilihan
Sarjana Muda,Iwan Fals,sarjana muda berjalan seorang pria mudadengan jaket lusuh dipundaknyadi sela bibir tampak mengeringterselip sebatang rumput liarjelas menatap awan berarakwajah murung semakin terlihatdengan langkah gontai tak terarahkeringat bercampur debu jalananengkau sarjana mudaresah mencari kerjamengandalkan ijazahmuempat tahun lamanyabergelut dengan buku'tuk jaminan masa depanlangkah kakimu terhentidi depan halamansebuah jawatanterjenuh lesu engkau melangkahdari pintu kantor yang diharapkanterngiang kata tiada lowonganuntuk kerja yang didambakantak peduli berusaha laginamun kata sama kau dapatkanjelas menatap awan berarakwajah murung semakin terlihatengkau sarjana mudaresah tak dapat kerjatak berguna ijazahmuempat tahun lamanyabergelut dengan bukusiasia semuanyasetengah putus asa dia berucapmaaf ibu
Matahariku,Nike Ardilla,matahariku di dalam gelap kehidupan iniseakan tiada sinar cahayamukucoba melangkah dari satu keyakinandi dalam gelap pastiadaterangkegagalan demi kegagalankujadikanpedoman hidup inibagai harihari ada siangada malamteguhkan iman di dalam jiwaaku insan lemahtak lepas dari goda dan cobaandiri yang meranaterombangambing oleh kehidupanmatahari pagi pancarkan sinarmuagar aku merasakan kehangatanmubiarlah mimpi buruk yang kemarinhilang ditelan malam yang kelamkegagalan demi kegagalan kegagalankujadikan pedoman hidup inibagai harihari ada siang ada malamteguhkan iman di dalam jiwaaku insan lemah haatak lepas dari goda dan cobaandiri yang meranaterombangambing oleh kehidupan haamatahari pagi haa pancarkan sinarmuagar aku merasakan kehangatanmubiarlah mimpi buruk yang kemarinhilang ditelan malam yang kelamkita manusiatiada daya selain engkau pengasihdiri yang meranaterombangambing oleh kehidupanmatahari pagi pancarkan sinarmuagar aku merasakan kehangatanmu
Bertemu Kembali,Nike Ardilla,bertemu kembali sering aku berfikir kapankah kamupercaya bahwa aku bisa punya cintasaat mampu 'ku menilaicinta yang hadir memberi artikegagalan cintamu bukan berartibisa terjadi juga pada dirikusalahkah diriku bilamencoba tuk memulai lagiduka pasti berlaluitulah harapankutapi bagaimana kini aku ada diatapi 'tak ada kamu oohwoahkeyakinanku inibagai tekadnya hati nelayanperpisahan ini tak selamanya pastikita bertemu kembalikegagalan cintamu bukan berartibisa terjadi juga pada dirikusalahkah diriku bilamencoba 'tuk memulai lagiduka pasti berlaluitulah harapankutapi bagaimana kini aku ada diatapi tak ada kamu oohwoahkeyakinanku ini ooh oohbagai tekadnya hati nelayanperpisahan ini tak selamanya pastikita bertemu kembaliduka pasti berlalu oh oohitulah harapankutapi bagaimana kini aku ada diatapi 'tak ada kamu oohwoah'ku ingin kamu tersenyum'ku lanjutkan hidup bagai nelayanyang mengarungi ombak birudi tengah lautan cinta kita
Izinkan,Nike Ardilla,izinkan lyricstlah berakhir semua mimpidan kenyataan tentang dirimukarna kini ku mengertisemua dusta dan kepalsuanbegitulah kamubegitulah cintamuizinkanlah aku mengakhiri semuaizinkanlah aku mengakhiri dustadan kepalsuan yang kau samarkanjangan lagi kau kembalidan menggoyahkan pendiriankuapalagi tuk mengulangduka yang samapada hatikuberakhirlah sudahberakhirlah semua
Batu-Batu,Anggun,batubatu lyricssekian lamaku jadi beginiaku seakan robot robot kakuikut ikut sajakau bilang ya ku harus iyamau mu apayeah apagerak tubuhku kau bahkan cemburuini ku anggap semakin terlalucukup cukup cukupbatas sabarku hilang sudahdengar hei dengardengar lahdengarreff apakah aku harus seperti batu batuhanya diam diam diam diamdengan tingkahmu yang lucuku sudah takan menyerah lagitakan mengalah lagiapapun yang terjadikutak peduliaku sakit hatiwo u wou wowaku tak mau xback to reff
2 Stupid 2 Stop,Gee,stupid  stop lyricsintroyo microphone checkserang city checklord the b checkgee checkeverybody check everybody checkah check this out yochorusthis is gee and lord the bdan ga akan pengen pergiyo my rap is catastrophicyo too black like ampas kopimix my flow with poetrynobody's as dope as meboy i got the recipeand you better just rest in peacethis is gee and lord the bdan ga akan pengen pergiyo my rap is catastrophicyo too black like ampas kopimix my flow with poetrynobody's as dope as meboy i got the recipeand you better just rest in peaceverse yo emosi ga stabil kita remaja labilbalik ke waktu di saat namaku gabrielpertemanan berakhir pacar di ambilbut real as fuck yeah i'm still the bestdi angkasa lo ngaku raksasamasih di asbes now i'm stressedsemua yang gue tulis datang dari kehidupansuicide girl itu beneran terjadi ngeri bukansemua rapper pasti bakal selalu ngerepotincuz' we are talkin' the truth ngerecokinorangorang yang hidup berdasarkan standarngeremehin orang yang hobinya gambarhidupnya hambar hanya berdasarkan numberuang di dompet dan atm yang harus nambahselalu aja nyinyir gini gitu selalu berkicaukenapa lo item gendut jelek mending lo pergi jauhkita selalu dituntut untuk menjadi perfectmending gue dicap buruk daripada dicekekoleh rantai yang bikin gue gabisa santaiekspektasi keluarga dari om dan tanteatau tante keluarga di bantenmustahil hidup lo putih bersih bagaikan santenmustahil hidup lo perfect tanpa sedikit bercaknobody's perfect liat kaca coba lo cekfuck harus kurus fuck gaboleh gendutmasa iya manusia harus punya satu bentukorang munafik bakal punah fix lunaticga berguna sih mending balik ke rumah bitchlirik terlalu panas sampai membakar papillaberharap bisa jadi pacar nike ardillakarena itu dengan rap akan kusampaikanmanusia ga sempurna tapi bukan setanchorusyo this is gee and lord the bdan ga akan pengen pergiyo my rap is catastrophicyo too black like ampas kopimix my flow with poetrynobody's as dope as meboy i got the recipeand you better just rest in peaceyou better just rest in peacei'm just too stupid to stop you know what i'm sayin'verse i'm too stupid to stop lovin' this beautiful hot womenthis beat goes on like dug dig dug tak oh mantoo stupid to stop thinkin' some fucked up shitteacher got killed by his student fucked up shittoo stupid to stop bikin lagu pulpen di tanganbuku dibuka nulis lagu mulai rekamanbutuh sabuk pengaman i feel i'm insanetoo stupid to stop you know what i'm sayin'masuk jam ke lima masih ga terimakenapa rapper lain yang dibilang master rimabom hiroshima dilempar sok mas terimague gombalin satu cewek yang baper limalo haus akan cinta boy malah gue laperninggalin banyak cewek setelah bikin dia baperdi lautan perasaan jangan sampai lo tenggelamcowok kaya gini cuma pengen bales dendamwait cuma bercanda lo juga gausah sok pinter nyetmodal informasi dari media internetpicture that banyak yang ga punya pekerjaannyebarin berita bohong berharap perpecahanga tahan apalagi saat gue buka facebookthat's why i wrote this rap on my black bookga pengen jadi tenar cuma pengen perubahansemoga dimengerti oleh kalian yang belum pahamtinta biru lirik meluap bagai di samudratehnkik gila tapi beda jauh dari kamasutrayou better dream boy langit adalah batasjangan cuma pulang lalu lo lempar taskalo lo beneran pengen you better do itgausah peduli orang tua kaga merestuilo bisa mulai lari tanpa ada bunyi pluitput yourself into it you better do itchorusthis is gee and lord the bdan ga akan pengen pergiyo my rap is catastrophicyo too black like ampas kopimix my flow with poetrynobody's as dope as meboy i got the recipeand you better just rest in peacethis is gee and lord the bdan ga akan pengen pergiyo my rap is catastrophicyo too black like ampas kopimix my flow with poetrynobody's as dope as meboy i got the recipeand you better just rest in peace
(Bonus track),Gospel,bonus track lyricsznajdziecie nas rwnie na instagramierap genius dla pocztkujcych jak korzysta z rap geniusjak tworzy wasne adnotacjeremix ju niedugo w telewizjidopiero teraz mogem wyj z tym gwnem na wiato dzienneponiewa abu bakr albaghdadi ju nie yje i nie bdzie mia okazji mnie odjebazajechali na m dziakrozczochrane imigrantywyeraj mi kaszanki jaraj moje blantywypaprali si w padliniepucz swoje ryje w wdziewykastrowa chc mi winieto na sucho im nie ujdziechc chdoy moje kozyi tirwkom woy burkprzestacie si szmaty wozii mi z kraju robi burdelkiedy si doszcztnie wkurwiezaczn wam rzyga na grobytemu kto was tu wysa chyba zesram si do mordyabu bakr albaghdadipierdz ci na chlebrzucam winie do kebabw by ich nie mg remylisz e to takie klawe kiedy chcesz mi uci ebno to wjad ci na chat i tam zrobi chlewabdul zbieram swoich ludzi i pakuj ich w samolotldujemy dzi w faludy troch w balet przypierdolpobawimy si tam kolo za wasz ukradziony szmaleci zobaczysz czy jest spoko kiedy kto ci sra na talerz typw co biegaj walc przy tym grube kreskiwjedam knurem w hady koksu wielkoci pieprzonej niekigrzebic w jajach kastratowi zardzewiaym rubokrtemdzisiaj czarny adolf hitler bdzie twoim prezydentemsypie diamenty na twj zada ty tacz na mojej rurcena twj turban mordo szczamwkadami ci na ryj jarmukchciaby teraz pj ju spaale nie ma spania fiutkuszwadron tustych starych bab podepnie ci prd do sutkwzabieram teraz pi twych on eby im wyliza pitykady z nich to teraz ziom wsy plus parszywe gbyprzebierz si za uczennic i dostaniesz w tyeka jak ci nie pasi melo zabierz imigrantw synekabu bakr albaghdadipierdz ci na chlebrzucam winie do kebabw by ich nie mg remylisz e to takie klawe kiedy chcesz mi uci ebno to wjad ci na chat i tam zrobi chlewprzebior merkel za wielbdaasad posmyra ci napletemwychosta ci viktor orbana potem zmienisz si w kobietwiem e putin ci pocigakiedy pierdzi ci na chlebeka na koniec z charlie'm hebdo golniesz spermy kieliszeczekspuszcz na ciebie kurtyn miosierdziaprzez cae ycie na chlebu bd pierdziaallah wcale ci nie lubi bo zabijasz dobrych ludzibardzo dobrych ludzimj pierwszy oficjalny diss na isistak naprawd abdullah nie jest niczemu winienbo to kurwa czarny obama razem z putinemzrobili ten rozpierdol zniszczyli kurwa cay bliski wschda teraz on biedaczek musi za to cierpieno ale chuj takie jest ycie
